TERM,NLP1,NLP2,NLP3,NLP4,NLP5,Agreeableness,Extroversion,Conscientiousness,Neuroticism,Openness/Intellect
boorish,-38.78020477294922,-35.491947174072266,-4.606696128845215,-0.16299045085906982,-31.479890823364258,,,,,
boozy,-16.85926628112793,-28.883466720581055,-18.07933807373047,-8.780684471130371,-5.538522720336914,,,,,
bored,-19.29500961303711,29.080175399780273,-25.720983505249023,-6.161434650421143,5.200901508331299,,,,,
boring,-5.149449348449707,53.90299606323242,-11.205623626708984,5.732332706451416,-4.237127304077148,,,,,
bossy,-25.330875396728516,-26.202592849731445,27.42920684814453,-16.636287689208984,-31.193273544311523,-0.31,0.3,0.04,0.32,-0.02
bountiful,37.208213806152344,-22.729686737060547,-4.769519805908203,3.3812215328216553,16.521024703979492,,,,,
bourgeois,11.049714088439941,19.692970275878906,-8.815878868103027,-2.9273786544799805,-15.789974212646484,,,,,
boyish,23.172630310058594,-14.779895782470703,-24.564626693725586,-0.8076393008232117,-15.56844711303711,,,,,
bragging,-20.545881271362305,-29.907136917114258,4.639769077301025,-16.87989044189453,-22.009044647216797,,,,,
brainless,-25.698810577392578,16.3726806640625,-29.524089813232422,17.985576629638672,-2.3936686515808105,,,,,
brainy,25.365163803100586,-6.745327472686768,22.310083389282227,-6.987217426300049,-1.2661947011947632,,,,,
brash,-12.858382225036621,-53.04441833496094,11.374499320983887,12.760260581970215,-33.861228942871094,,,,,
brave,30.517717361450195,-27.617372512817383,21.92205238342285,-1.8979161977767944,-2.082871437072754,-0.09,0.3,0.13,-0.35,0.07
brawling,-43.10810852050781,-26.71117401123047,1.499475359916687,-4.346827030181885,-1.9715616703033447,,,,,
brawlsome,-28.204208374023438,-30.812957763671875,6.570052623748779,2.6550698280334473,-4.284896373748779,,,,,
brazen,-12.83886432647705,-43.29325866699219,15.753637313842773,15.431363105773926,-21.364315032958984,,,,,
breathless,-12.655818939208984,-6.70100736618042,-27.316879272460938,12.125922203063965,28.8803768157959,,,,,
breezy,38.47273635864258,-28.859800338745117,-26.92193603515625,17.212175369262695,-24.97618865966797,,,,,
bright,43.79169464111328,-35.63871383666992,6.681832790374756,0.9569003582000732,-2.2553274631500244,0.09,0.12,0.12,-0.12,0.44
bright-eyed,38.23406982421875,-35.222782135009766,-19.063343048095703,2.4957685470581055,-17.906286239624023,,,,,
brilliant,27.682992935180664,-26.25128936767578,16.637420654296875,0.3329471945762634,15.569629669189453,,,,,
brisk,15.534265518188477,-16.11349105834961,24.425893783569336,19.5279598236084,-14.775832176208496,,,,,
bristling,-30.327444076538086,-17.683462142944336,25.055538177490234,1.2188624143600464,8.630521774291992,,,,,
bristly,-26.352840423583984,-13.270113945007324,24.605770111083984,1.972190499305725,1.5651955604553223,,,,,
broad-minded,49.12612533569336,-22.386903762817383,-14.250513076782227,2.7520487308502197,-8.857194900512695,,,,,
broad-spoken,37.73581314086914,-20.09742546081543,-6.2160234451293945,8.087822914123535,-13.119328498840332,,,,,
broken,-25.099472045898438,6.2724761962890625,-22.839250564575195,3.428098440170288,39.510780334472656,,,,,
brooding,-19.67916488647461,38.960140228271484,15.240839958190918,-32.24374008178711,20.59678077697754,,,,,
broody,-22.387208938598633,31.208574295043945,26.21768569946289,-23.80817222595215,9.435102462768555,,,,,
brotherly,45.63795471191406,-1.2095363140106201,-13.28929615020752,-19.368940353393555,-2.3791627883911133,,,,,
browbeating,-37.89533996582031,5.9280829429626465,27.751379013061523,-17.405162811279297,-15.068848609924316,,,,,
brusque,-26.18577003479004,-13.984017372131348,32.957725524902344,4.504693508148193,-32.13662338256836,,,,,
brutal,-32.96451950073242,-4.3757123947143555,33.83946990966797,-4.535915851593018,2.3257639408111572,,,,,
brutish,-38.97040557861328,-4.254614353179932,20.435388565063477,3.796069622039795,-15.626806259155273,,,,,
bubbly,35.33808135986328,-47.71089553833008,-23.90077018737793,-4.178220272064209,-19.34894371032715,,,,,
buffoonish,-22.791135787963867,-24.497774124145508,-31.449342727661133,1.6526994705200195,-13.395904541015625,,,,,
bullheaded,-28.55976676940918,-22.64198112487793,27.95507049560547,4.559774398803711,-38.07912826538086,-0.32,0.15,-0.08,0.12,0.03
bullish,-9.781972885131836,-36.56683349609375,25.724246978759766,5.922587871551514,-27.04320526123047,,,,,
bullying,-43.952110290527344,-8.708952903747559,8.335718154907227,-21.760231018066406,-10.83410358428955,,,,,
buoyant,35.48975372314453,-44.692665100097656,-12.284819602966309,12.726898193359375,-9.773907661437988,,,,,
buoying,39.86631774902344,-22.05860710144043,-4.596144199371338,6.936948776245117,13.860565185546875,,,,,
bureaucratic,-2.5454487800598145,33.13835525512695,13.611074447631836,-14.67075252532959,-4.912302494049072,,,,,
burned-out,-30.81743812561035,13.398917198181152,-13.886615753173828,-7.991737365722656,19.248842239379883,,,,,
businesslike,18.959508895874023,40.86251449584961,42.753509521484375,-1.9730030298233032,-22.502410888671875,,,,,
busy,6.559440612792969,-29.25330352783203,9.269726753234863,-1.3440656661987305,3.2222752571105957,,,,,
busyish,4.966585159301758,-21.315582275390625,1.446081519126892,1.4090189933776855,-7.515388488769531,,,,,
cagey,-13.742197036743164,5.368480205535889,4.401574611663818,-14.593755722045898,5.265689373016357,,,,,
cajoling,-0.9954449534416199,-18.303913116455078,-14.466291427612305,-27.994226455688477,-6.123257160186768,,,,,
calculable,21.74493980407715,27.194204330444336,30.39543342590332,14.583512306213379,1.2555445432662964,,,,,
calculating,-1.1454235315322876,26.484283447265625,49.00206756591797,-18.18401336669922,5.144613742828369,,,,,
callous,-37.58367919921875,2.092754364013672,20.774208068847656,-7.807552814483643,-17.757429122924805,-0.41,-0.03,0.04,-0.11,-0.21
callow,-9.96638011932373,32.19338607788086,-21.9592227935791,3.1226420402526855,-8.997982025146484,,,,,
calm,53.19823455810547,32.01200866699219,1.853018879890442,-7.078308582305908,-9.613337516784668,,,,,
calming,56.868370056152344,26.58555793762207,-7.117879390716553,-16.79412269592285,0.24308301508426666,,,,,
candid,29.22483253479004,-21.031177520751953,5.472733020782471,9.01861572265625,-13.28752326965332,-0.01,0.15,-0.06,-0.1,0.25
