TERM,ALmeanFrequency,Orig OrderIn1710List,NormanCategory2800List,Saucier list?,G&N 1710 list?,Allport Odbert source,COCA freq rank,definitions,,,,,,
forthcoming,NA,NA,dropped,nope,nope,Allport Odbert - Column I,8909,helpful or informative; frank.,30,,,,,
forthright,3.80,425,Norman - category 1; form 1,nope,yes,Allport Odbert - Column I,22495,outspoken and to the point.,27,,,,,
fortunate,NA,NA,NA,yes,nope,Allport Odbert - Column III,6774,lucky; blessed.,36,,,,,
forward,5.40,426,Norman - category 3; form 1,nope,yes,Allport Odbert - Column I,740,bold or presumptuous.,21,,,,,
forward-looking,1.80,427,Norman - category 3; form 13,nope,yes,not included,27455,favoring innovation and development; progressive.,48,,,,,
foul-mouthed,3.70,428,Norman - category 3; form 3,nope,yes,Allport Odbert - Column I,51891,"using obscene or vulgarly abusive language, especially habitually.",66,,,,,
foxy,3.30,429,Norman - category 3; form 5,nope,yes,Allport Odbert - Column III,31710,cunning.,32,,,,,
fractious,NA,NA,Norman - category 2; form 1,nope,nope,Allport Odbert - Column I,30008,inclined to be irritable and quarrelsome; cranky.,49,,,,,
fragile,NA,NA,dropped,nope,nope,Allport Odbert - Column IV,5941,easily damaged; delicate.,25,,,,,
frank,4.60,430,Norman - category 1; form 2,nope,yes,Allport Odbert - Column I,10934,sincere and straightforward.,28,,,,,
fraternal,2.60,431,Norman - category 3; form 3,nope,yes,Allport Odbert - Column I,21086,"of, related to, or like a brother or brothers.",46,,,,,
fraudulent,2.50,432,Norman - category 2; form 5,nope,yes,Allport Odbert - Column III,15213,using or inclined to use deceit or trickery.,44,,,,,
free,NA,NA,dropped,nope,nope,Allport Odbert - Column I,440,loose or unrestrained in behavior.,34,,,,,
free-living,1.80,433,Norman - category 3; form 1,nope,yes,Allport Odbert - Column I,57345,"freely indulging desires and appetites, as for food, drink, or sex, as a way of life.",85,,,,,
free-minded,1.80,434,Norman - category 3; form 2,nope,yes,Allport Odbert - Column I,NA,free from worry or concern.,28,,,,,
free-thinking,3.40,435,Norman - category 3; form 4,nope,yes,not included,65360,"a person who forms opinions on the basis of reason, independent of authority or tradition.",89,,,,,
frenetic,NA,NA,Norman - category 2; form 14,nope,nope,new,23483,fast and energetic in a rather wild and uncontrolled way.,18,,,,,
frenzied,NA,NA,dropped,nope,nope,Allport Odbert - Column II,19193,wildly excited or agitated.,47,,,,,
fretful,3.00,436,Norman - category 1; form 1,nope,yes,Allport Odbert - Column I,45475,"inclined to worry anxiously, or to be irritable.",48,,,,,
fretless,1.10,437,Norman - category 3; form 2,nope,yes,Allport Odbert - Column I,NA,to not be constantly or visibly worried or anxious.,50,,,,,
fretting,NA,NA,dropped,nope,nope,Allport Odbert - Column II,27373,"prone to feeling or expressing worry, annoyance, or discontent.",63,,,,,
friendly,6.80,438,Norman - category 1; form 3,nope,yes,Allport Odbert - Column I,3167,sociable and lacking hostility.,31,,,,,
frightenable,1.80,439,Norman - category 3; form 11,nope,yes,not included,NA,capable of being scared.,37,,,,,
frightened,NA,NA,dropped,nope,nope,Allport Odbert - Column II,7264,seized with fear.,17,,,,,
frightening,NA,NA,NA,yes,nope,Allport Odbert - Column III,6859,scary; fearsome.,65,,,,,
frigid,NA,NA,dropped,nope,nope,Allport Odbert - Column I,15041,extremely cold; freezing.,25,,,,,
frisky,4.00,440,Norman - category 1; form 5,nope,yes,Allport Odbert - Column I,33722,lively and playful.,19,,,,,
frivolous,4.30,441,Norman - category 2; form 1,nope,yes,Allport Odbert - Column I,15103,inclined to lack seriousness or to show undue levity.,53,,,,,
frolicsome,1.20,442,Norman - category 3; form 2,nope,yes,Allport Odbert - Column I,86374,"full of high spirits, gaiety, or merriment; playful.",52,,,,,
frugal,4.30,443,Norman - category 1; form 5,nope,yes,Allport Odbert - Column I,23526,very careful with spending so as to avoid waste.,48,,,,,
frustrated,NA,NA,NA,yes,nope,Allport Odbert - Column II,7916,"thwarted, or feeling angry or upset at being thwarted.",54,,,,,
frustrating,NA,NA,NA,yes,nope,Allport Odbert - Column III,7756,causing distress and impatience by being persistently difficult.,64,,,,,
fumbling,NA,NA,dropped,nope,nope,Allport Odbert - Column II,19592,"groping about awkwardly, nervously, or clumsily.",48,,,,,
funny,NA,NA,NA,yes,nope,Allport Odbert - Column III,1960,provoking amusement or laughter.,32,,,,,
furious,NA,NA,NA,yes,nope,Allport Odbert - Column II,6807,violently angry; enraged.,39,,,,,
fussy,5.10,444,Norman - category 3; form 1,nope,yes,Allport Odbert - Column I,22513,excessively concerned with details; meticulous.,47,,,,,
gabby,2.90,445,Norman - category 3; form 2,nope,yes,Allport Odbert - Column I,76962,tending to talk too much or too long; talkative.,59,,,,,
gallant,2.60,446,Norman - category 1; form 1,nope,yes,Allport Odbert - Column I,24062,"courageous, spirited, or chivalrous.",36,,,,,
garish,NA,NA,dropped,nope,nope,Allport Odbert - Column III,24686,marked by excessive or tasteless decorations; gaudy; flashy.,60,,,,,
garrulous,NA,NA,Norman - category 2; form 4,nope,nope,Allport Odbert - Column I,42871,exceptionally wordy; verbose.,29,,,,,
gauche,NA,NA,dropped,nope,nope,Allport Odbert - Column I,40038,deficient in manners or other conventions of social behavior; boorish; crude.,77,,,,,
gaudy,NA,NA,dropped,nope,nope,Allport Odbert - Column III,22182,tastelessly or excessively ornamented or colored; flashy; garish.,65,,,,,
generative,NA,NA,dropped,nope,nope,Allport Odbert - Column IV,31483,"productive or capable of reproducing, as with work output.",58,,,,,
generous,6.20,447,Norman - category 1; form 4,nope,yes,Allport Odbert - Column I,4674,having a benevolent character or disposition.,45,,,,,
genial,2.30,448,Norman - category 1; form 5,nope,yes,Allport Odbert - Column I,25886,cheerfully friendly.,20,,,,,
genteel,2.40,449,Norman - category 2; form 2,nope,yes,Allport Odbert - Column I,23186,exaggeratedly or affectedly polite and refined.,47,,,,,
gentle,5.50,450,Norman - category 1; form 3,nope,yes,Allport Odbert - Column I,4315,possessing a kind or generous disposition; tender; sweet.,57,,,,,
gentle-minded,1.90,451,NA,yes,nope,not included,NA,"one who's behavior is of a kindly, amiable, or easy-going manner.",58,,,,,
gentlemanlike,3.00,452,Norman - category 3; form 5,nope,yes,Allport Odbert - Column I,NA,"having the characteristics of a gentleman, good breeding.",56,,,,,
genuine,NA,NA,NA,yes,nope,Allport Odbert - Column III,4538,free from deception or pretense; sincere.,41,,,,,
giddy,NA,NA,dropped,nope,nope,Allport Odbert - Column I,15398,lacking seriousness; frivolous.,31,,,,,
gifted,NA,NA,NA,yes,nope,Allport Odbert - Column IV,3513,"endowed with a special quality, talent, or ability.",51,,,,,
giggly,NA,NA,dropped,nope,nope,Allport Odbert - Column I,50206,"having a tendency to laugh in an excited, nervous, or silly way.",64,,,,,
girlish,3.40,453,Norman - category 3; form 1,nope,yes,Allport Odbert - Column I,27443,"of, like, pertaining to, or suitable for a female child.",47,,,,,
giving,5.00,454,Norman - category 3; form 2,nope,yes,Allport Odbert - Column II,849,providing love or other emotional support; caring.,49,,,,,
glad,NA,NA,NA,yes,nope,Allport Odbert - Column II,2405,"happy or delighted, often with a sense of relief or fulfilled hope; pleased.",76,,,,,
glamorous,NA,NA,NA,yes,nope,Allport Odbert - Column III,10671,"full of or characterized by fascination, allure, or excitement.",63,,,,,
gleeful,NA,NA,dropped,nope,nope,Allport Odbert - Column I,31406,exuberantly joyful; merry.,26,,,,,
glib,2.50,455,Norman - category 1; form 5,nope,yes,Allport Odbert - Column I,29876,"prone to speak easily and fluently, especially in a careless or thoughtless manner.",83,,,,,
gloating,NA,NA,dropped,nope,nope,Allport Odbert - Column II,36478,"prone to expressing pleasure, pride, or satisfaction, often at someone else's expense.",86,,,,,
gloomy,4.20,456,NA,yes,nope,Allport Odbert - Column I,13997,dim or dark; dreary or dismal.,30,,,,,
glum,NA,NA,dropped,nope,nope,Allport Odbert - Column I,29053,"in low spirits; sad, sullen, or gloomy.",39,,,,,
gluttonous,3.30,457,Norman - category 2; form 1,nope,yes,Allport Odbert - Column I,67145,inclined to eat excessively; voracious.,39,,,,,
goading,NA,NA,dropped,nope,nope,Allport Odbert - Column II,46696,spurring others to action; stimulating.,39,,,,,
goatish,NA,NA,dropped,nope,nope,Allport Odbert - Column IV,99354,lustful or lecherous.,21,,,,,
god-fearing,3.40,458,Norman - category 3; form 2,nope,yes,Allport Odbert - Column I,38992,fearful and respectful of God.,30,,,,,
godless,1.90,459,Norman - category 3; form 3,nope,yes,Allport Odbert - Column I,34519,without belief in any deity; atheistic.,37,,,,,
good,NA,NA,NA,yes,nope,Allport Odbert - Column III,111,"having qualities that are desired, enjoyed, or beneficial; desirable.",69,,,,,
good-for-nothing,NA,NA,NA,yes,nope,Allport Odbert - Column III,63933,having little value; worthless; useless.,40,,,,,
good-hearted,4.40,460,Norman - category 3; form 12,nope,yes,not included,40468,"having a kind, considerate, and generous nature.",48,,,,,
good-humored,4.70,461,Norman - category 1; form 4,nope,yes,Allport Odbert - Column I,48053,"having or showing a happy, friendly, or pleasant state of mind; good-natured.",77,,,,,
good-looking,NA,NA,NA,yes,nope,Allport Odbert - Column IV,13256,attractive or pleasing in appearance; beautiful or handsome.,60,,,,,
good-natured,5.20,462,Norman - category 1; form 5,nope,yes,Allport Odbert - Column I,22673,"having or showing a pleasant, cheerful, easygoing, or friendly character or mood.",81,,,,,
good-tempered,4.00,463,Norman - category 3; form 1,nope,yes,Allport Odbert - Column I,NA,not easily angered or irritated; amiable; good-natured.,77,,,,,
gorgeous,NA,NA,NA,yes,nope,Allport Odbert - Column III,6323,exceptionally beautiful; splendid.,34,,,,,
gossipy,4.90,464,Norman - category 1; form 5,nope,yes,Allport Odbert - Column I,46207,enjoying talking about other people's private lives.,51,,,,,
gourmet,NA,NA,Norman - category 2; form 2,nope,nope,Allport Odbert - Column I,10599,characteristic of someone who values food and drink of high quality.,68,,,,,
grabby,NA,NA,Norman - category 3; form 13,nope,nope,new,71435,tending to or inclined to take things; greedy.,46,,,,,
graceful,4.80,465,Norman - category 1; form 4,nope,yes,Allport Odbert - Column I,9649,"marked by beauty of movement, manner, or behavior.",59,,,,,
graceless,1.80,466,Norman - category 3; form 5,nope,yes,Allport Odbert - Column I,49728,inappropriate or socially awkward.,34,,,,,
gracious,4.40,467,Norman - category 1; form 1,nope,yes,Allport Odbert - Column I,11530,"inclined to do what is polite, kind, right, or considerate.",59,,,,,
grand,NA,NA,dropped,nope,nope,Allport Odbert - Column III,1660,"having splendor, magnificence, or nobility.",43,,,,,
grandfatherly,NA,NA,dropped,nope,nope,Allport Odbert - Column I,55558,"having qualities considered normal for one's elders, such as the wisdom of experience.",86,,,,,
grandiloquent,NA,NA,Norman - category 2; form 2,nope,nope,Allport Odbert - Column I,71036,"speaking or expressed in a pretentious, pompous, or excessively ornate fashion.",79,,,,,
grandiose,NA,NA,Norman - category 2; form 3,nope,nope,Allport Odbert - Column III,21319,pretentious or pompous.,23,,,,,
grandmotherly,NA,NA,dropped,nope,nope,Allport Odbert - Column I,53946,"having qualities considered normal for elderly maternal figures, such as amused tolerance.",78,,,,,
grateful,NA,NA,NA,yes,nope,Allport Odbert - Column I,4288,feeling or showing appreciation for kindnesses or benefits; thankful.,69,,,,,
grave,NA,NA,dropped,nope,nope,Allport Odbert - Column I,5948,slow and solemn; morose.,24,,,,,
greasy,NA,NA,dropped,nope,nope,Allport Odbert - Column III,12794,slippery or oily.,17,,,,,
great,NA,NA,NA,yes,nope,Allport Odbert - Column III,NA,"of extraordinary quality, ability, or distinction.",50,,,,,
great-hearted,1.80,469,Norman - category 3; form 1,nope,yes,Allport Odbert - Column III,NA,having a generous nature; magnanimous.,38,,,,,
greedy,6.00,468,Norman - category 1; form 5,nope,yes,Allport Odbert - Column I,12287,extremely desirous of wealth or possessions without regard to the desires of others.,84,,,,,
gregarious,3.90,470,Norman - category 2; form 2,nope,yes,Allport Odbert - Column I,25311,fond of socializing with others; sociable.,42,,,,,
gritty,NA,NA,dropped,nope,nope,Allport Odbert - Column I,14997,stubbornly courageous; hardy in spirit.,39,,,,,
grouchy,NA,NA,NA,yes,nope,Allport Odbert - Column I,43271,tending to be irritable and complaining; bad-tempered.,54,,,,,
grousing,NA,NA,dropped,nope,nope,Allport Odbert - Column II,45348,complaining.,12,,,,,
groveling,NA,NA,dropped,nope,nope,Allport Odbert - Column II,51728,acting obsequiously in order to obtain forgiveness or favor.,60,,,,,
grudging,NA,NA,dropped,nope,nope,Allport Odbert - Column II,28923,reluctant or unwilling.,23,,,,,
gruff,3.00,471,Norman - category 1; form 3,nope,yes,Allport Odbert - Column I,23348,low and hoarse-sounding.,24,,,,,
grumbly,2.20,472,Norman - category 3; form 4,nope,yes,Allport Odbert - Column I,NA,inclined to complain.,20,,,,,
grumpy,5.70,473,Norman - category 3; form 5,nope,yes,Allport Odbert - Column I,25727,in a bad mood; irritable.,25,,,,,
guarded,NA,NA,dropped,nope,nope,Allport Odbert - Column I,15330,wary; cautious.,15,,,,,
guileless,2.10,474,Norman - category 2; form 2,nope,yes,Allport Odbert - Column I,43059,innocent and without deception; sincere.,23,,,,,
guilt-free,NA,NA,new,nope,nope,new,51597,enjoying without concern about doing something bad.,51,,,,,
guiltless,NA,NA,dropped,nope,nope,Allport Odbert - Column III,59303,sinless; innocent.,33,,,,,
guilty,NA,NA,dropped,nope,nope,Allport Odbert - Column III,2173,characterized by or feeling regret or accountability for harm.,44,,,,,
gullible,5.10,475,Norman - category 1; form 3,nope,yes,Allport Odbert - Column I,29900,readily believing and thus easily tricked or deceived.,54,,,,,
gushy,2.60,476,Norman - category 3; form 1,nope,yes,Allport Odbert - Column I,63627,inclined toward excessive emotional or sentimental display in communication or behavior.,88,,,,,
gutless,4.30,477,Norman - category 3; form 2,nope,yes,Allport Odbert - Column III,49778,lacking courage or determination.,44,,,,,
gutsy,4.80,478,Norman - category 3; form 12,nope,yes,not included,27421,bold; courageous.,28,,,,,
habitual,NA,NA,dropped,nope,nope,Allport Odbert - Column IV,19207,"regularly or repeatedly doing, practicing, or acting in some manner.",68,,,,,
halfhearted,NA,NA,dropped,nope,nope,Allport Odbert - Column II,35493,without enthusiasm or energy.,29,,,,,
halfwitted,NA,NA,dropped,nope,nope,Allport Odbert - Column III,86902,stupid or foolish.,18,,,,,
handicapped,NA,NA,NA,yes,nope,Allport Odbert - Column III,13935,having a physical or mental disability.,39,,,,,
handsome,NA,NA,NA,yes,nope,Allport Odbert - Column IV,4436,"having a pleasing, attractive, and healthy appearance.",54,,,,,
handy,NA,NA,dropped,nope,nope,Allport Odbert - Column I,7959,skilled at performing a variety of tasks or functions.,54,,,,,
haphazard,3.30,479,Norman - category 3; form 1,nope,yes,Allport Odbert - Column III,23834,not organized or based on reason or logic; without aim or purpose.,66,,,,,
hapless,NA,NA,Norman - category 3; form 2,nope,nope,Allport Odbert - Column III,20159,not favored by chance; unlucky; unfortunate.,44,,,,,
happy,NA,NA,NA,yes,nope,Allport Odbert - Column II,744,"marked by a feeling of joy, contentment, pleasure, comfort, or the like.",72,,,,,
happy-go-lucky,5.30,480,Norman - category 3; form 3,nope,yes,Allport Odbert - Column I,42334,trusting one's well-being or success to good fortune; carefree.,55,,,,,
