TERM,ALmeanFrequency,Orig OrderIn1710List,NormanCategory2800List,Saucier list?,G&N 1710 list?,Allport Odbert source,COCA freq rank,definitions,,,,,,
awful,NA,NA,NA,yes,nope,Allport Odbert - Column III,3783,very bad; inferior.,19,,,,,
awkward,4.40,67,Norman - category 1; form 2,nope,yes,Allport Odbert - Column I,5973,deficient in physical skill or grace; clumsy.,45,,,,,
babyish,NA,NA,Norman - category 3; form 5,nope,nope,Allport Odbert - Column III,62927,very youthful; childlike.,25,,,,,
backbiting,NA,NA,dropped,nope,nope,Allport Odbert - Column II,57162,criticizing harshly or speaking badly of an absent person.,58,,,,,
bad,NA,NA,NA,yes,nope,Allport Odbert - Column III,416,not good; naughty.,18,,,,,
baiting,NA,NA,dropped,nope,nope,Allport Odbert - Column II,30879,"attempting to anger by teasing, nagging, or tormenting.",55,,,,,
baleful,NA,NA,Norman - category 2; form 1,nope,nope,Allport Odbert - Column III,42245,threatening harm; full of malice; ominous.,42,,,,,
balky,1.20,68,Norman - category 1; form 3,nope,yes,Allport Odbert - Column I,43564,inclined to stop short and then refuse to proceed; stubborn; obstinate.,71,,,,,
bashful,4.20,69,Norman - category 3; form 4,nope,yes,Allport Odbert - Column I,36739,shy; timid or self-conscious in the presence of others.,55,,,,,
bearish,NA,NA,Norman - category 3; form 4,nope,nope,Allport Odbert - Column III,36505,burly; clumsy; rude.,55,,,,,
beautiful,NA,NA,NA,yes,nope,Allport Odbert - Column III,893,delighting the senses; lovely; appealling.,42,,,,,
bedraggled,NA,NA,dropped,nope,nope,Allport Odbert - Column II,36016,in a state of shabby disorder or deterioration.,47,,,,,
believable,NA,NA,NA,yes,nope,Allport Odbert - Column III,18649,convincing; credible; within the range of known possibility or probability.,75,,,,,
bellicose,NA,NA,Norman - category 2; form 2,nope,nope,Allport Odbert - Column I,38671,easily incited to quarrel or fight.,48,,,,,
belligerent,4.50,70,Norman - category 1; form 3,nope,yes,Allport Odbert - Column I,23354,having or showing an eagerness to fight; aggressive; warlike.,61,,,,,
bendable,1.50,71,Norman - category 3; form 11,nope,yes,not included,72580,willing to compromise or change one's purpose; not stubborn.,60,,,,,
beneficent,1.40,72,Norman - category 2; form 1,nope,yes,Allport Odbert - Column III,40552,tending to do good; kindly; charitable.,39,,,,,
benevolent,3.80,73,Norman - category 1; form 3,nope,yes,Allport Odbert - Column I,15962,desiring to do good for others; generous.,41,,,,,
benign,NA,NA,Norman - category 2; form 4,nope,nope,Allport Odbert - Column I,9335,causing little or no harm.,26,,,,,
berating,NA,NA,dropped,nope,nope,Allport Odbert - Column II,41348,reproaching or scolding severely.,33,,,,,
bestial,NA,NA,Norman - category 2; form 1,nope,nope,Allport Odbert - Column III,50415,"like an animal, especially in brutality or intellect.",51,,,,,
bewildered,NA,NA,dropped,nope,nope,Allport Odbert - Column II,14558,"confused or befuddled, especially with too many or conflicting alternatives.",76,,,,,
biased,4.70,74,Norman - category 1; form 4,nope,yes,Allport Odbert - Column III,14689,unfairly prejudiced for or against someone or something.,56,,,,,
big,NA,NA,NA,yes,nope,Allport Odbert - Column III,184,generous or magnanimous.,24,,,,,
big-headed,4.10,75,Norman - category 3; form 12,nope,yes,not included,78222,conceited or arrogant.,22,,,,,
big-hearted,5.10,76,Norman - category 3; form 13,nope,yes,not included,61554,generous or compassionate.,26,,,,,
big-mouthed,4.80,77,Norman - category 3; form 5,nope,yes,Allport Odbert - Column III,98626,one who is an indiscreet or boastful person.,44,,,,,
bigoted,4.40,78,Norman - category 2; form 1,nope,yes,Allport Odbert - Column III,31797,having belief in the superiority of one's own opinions; intolerance of the opinions of others.,94,,,,,
bilious,NA,NA,Norman - category 2; form 2,nope,nope,Allport Odbert - Column IV,55387,ill-tempered; irritable.,24,,,,,
bitter,5.40,79,Norman - category 1; form 5,nope,yes,Allport Odbert - Column I,4156,"exhibiting animosity, cynicism, and rancor, often attributed to severe pain, grief, or regret.",94,,,,,
bizarre,NA,NA,dropped,nope,nope,Allport Odbert - Column III,6219,"strikingly odd or unusual, especially in appearance or behavior.",64,,,,,
blaming,NA,NA,dropped,nope,nope,Allport Odbert - Column II,10418,finding fault with; criticizing sharply.,40,,,,,
bland,2.50,80,Norman - category 3; form 1,nope,yes,Allport Odbert - Column I,13889,"dull; without interest, spirit, or excitement; indifferent.",59,,,,,
blasé,1.90,81,Norman - category 2; form 2,nope,yes,Allport Odbert - Column I,NA,"unstimulated or unimpressed, implying that one has already experienced more or better.",86,,,,,
blasphemous,2.10,82,Norman - category 2; form 3,nope,yes,Allport Odbert - Column III,35907,disrespectfully irreverent; profane.,36,,,,,
bleak,NA,NA,Norman - category 3; form 1,nope,nope,Allport Odbert - Column III,10366,having a hopeless quality.,26,,,,,
blind,NA,NA,NA,yes,nope,Allport Odbert - Column III,3016,lacking the ability to see; sightless.,38,,,,,
blithe,NA,NA,Norman - category 2; form 2,nope,nope,Allport Odbert - Column I,40828,indifferent or casual; unconcerned.,35,,,,,
blunt,4.40,83,Norman - category 1; form 3,nope,yes,Allport Odbert - Column III,9473,abrupt in speech or manner; being straight to the point.,56,,,,,
blunt-witted,1.40,84,Norman - category 3; form 4,nope,yes,Allport Odbert - Column III,NA,"dull, stupid, ignoble in demeanor.",34,,,,,
blustery,1.50,85,Norman - category 3; form 11,nope,yes,not included,30329,"loud, noisy, or swaggering; tending to utter loud, empty menaces or protests.",77,,,,,
boastful,4.40,86,Norman - category 1; form 2,nope,yes,Allport Odbert - Column I,42955,of a person who expresses excessive pride in oneself.,53,,,,,
boastless,1.20,87,Norman - category 3; form 12,nope,yes,not included,NA,lacking excessive pride and self-satisfaction.,46,,,,,
boisterous,3.90,88,Norman - category 1; form 4,nope,yes,Allport Odbert - Column I,22529,"rowdy; loud, unrestrained, and in high spirits.",47,,,,,
bold,5.20,89,Norman - category 1; form 5,nope,yes,Allport Odbert - Column I,5086,brave; daring.,14,,,,,
bombastic,NA,NA,Norman - category 2; form 1,nope,nope,Allport Odbert - Column I,38982,overblown or pretentious.,25,,,,,
bookish,3.90,90,Norman - category 3; form 3,nope,yes,Allport Odbert - Column I,33618,"inclined to reading or study, often used disparagingly.",55,,,,,
boorish,3.50,91,Norman - category 3; form 5,nope,yes,Allport Odbert - Column III,43335,rude; ill-mannered; crude.,26,,,,,
boozy,NA,NA,dropped,nope,nope,Allport Odbert - Column III,33707,prone to drinking or being intoxicated.,39,,,,,
bored,NA,NA,NA,yes,nope,Allport Odbert - Column II,7398,uninterested; behaving as if most things are tedious or dull.,61,,,,,
boring,NA,NA,NA,yes,nope,Allport Odbert - Column III,5877,tedious; monotonous; dull; causing others to be bored.,54,,,,,
bossy,6.00,92,Norman - category 1; form 1,nope,yes,Allport Odbert - Column III,29990,domineering; overbearing; pushy.,32,,,,,
bountiful,1.80,93,Norman - category 3; form 2,nope,yes,Allport Odbert - Column III,26586,liberal in giving; generous.,28,,,,,
bourgeois,NA,NA,dropped,nope,nope,Allport Odbert - Column III,11940,"marked by a concern for respectability, comfort, and material possessions.",74,,,,,
boyish,3.60,94,Norman - category 3; form 4,nope,yes,Allport Odbert - Column III,19549,"having the manner, behavior, or look of a young male.",53,,,,,
bragging,NA,NA,dropped,nope,nope,Allport Odbert - Column II,18697,exhibiting or characterized by excessive pride or boastfulness.,63,,,,,
brainless,NA,NA,dropped,nope,nope,Allport Odbert - Column III,45630,without intelligence; stupid.,29,,,,,
brainy,5.00,95,Norman - category 3; form 13,nope,yes,not included,32044,of superior intelligence; clever.,33,,,,,
brash,3.50,96,Norman - category 2; form 1,nope,yes,Allport Odbert - Column III,19819,rudely self-assertive; impudent.,32,,,,,
brave,5.80,97,Norman - category 1; form 4,nope,yes,Allport Odbert - Column I,5756,ready to face pain or danger; courageous.,41,,,,,
brawling,NA,NA,dropped,nope,nope,Allport Odbert - Column II,45843,fighting or arguing noisily.,28,,,,,
brawlsome,1.50,98,Norman - category 3; form 1,nope,yes,Allport Odbert - Column I,NA,likely to engage in loud or violent activities.,46,,,,,
brazen,3.50,99,Norman - category 2; form 2,nope,yes,Allport Odbert - Column III,20881,shameless; bold.,16,,,,,
breathless,NA,NA,dropped,nope,nope,Allport Odbert - Column II,14537,"breathing heavily, suggesting great exertion.",45,,,,,
breezy,2.50,100,Norman - category 3; form 4,nope,yes,Allport Odbert - Column III,21817,"lighthearted or carefree, sometimes carelessly or inappropriately so.",69,,,,,
bright,6.10,101,Norman - category 1; form 3,nope,yes,Allport Odbert - Column III,1536,quick to learn; intelligent.,28,,,,,
bright-eyed,NA,NA,Norman - category 3; form 14,nope,nope,new,39368,alert and lively.,17,,,,,
brilliant,NA,NA,NA,yes,nope,Allport Odbert - Column III,3620,"having a mind of extreme clarity, sharpness, and quickness.",59,,,,,
brisk,2.10,102,Norman - category 1; form 4,nope,yes,Allport Odbert - Column I,12360,active or energetic; lively; quick.,35,,,,,
bristling,NA,NA,dropped,nope,nope,Allport Odbert - Column II,24971,responding with anger.,22,,,,,
bristly,1.60,103,Norman - category 3; form 5,nope,yes,Allport Odbert - Column I,36944,inclined to react angrily or aggressively.,42,,,,,
broad-minded,3.60,104,Norman - category 1; form 1,nope,yes,Allport Odbert - Column I,65647,having unprejudiced views; tolerant or liberal.,47,,,,,
broad-spoken,1.70,105,Norman - category 3; form 2,nope,yes,Allport Odbert - Column I,NA,direct and open in speech.,26,,,,,
broken,NA,NA,dropped,nope,nope,Allport Odbert - Column IV,2860,low in vitality; weakened; exhausted.,37,,,,,
brooding,NA,NA,dropped,nope,nope,Allport Odbert - Column II,17284,"pondering or deliberating, often moodily.",41,,,,,
broody,1.60,106,Norman - category 3; form 4,nope,yes,Allport Odbert - Column I,68974,given to introspection and worry; moody.,40,,,,,
brotherly,NA,NA,dropped,nope,nope,Allport Odbert - Column III,32245,"having or showing affection, kindness, or loyalty.",50,,,,,
browbeating,NA,NA,dropped,nope,nope,Allport Odbert - Column II,96854,bullying or dominating by means of intimidating words or actions.,65,,,,,
brusque,1.50,107,Norman - category 1; form 5,nope,yes,Allport Odbert - Column I,33910,impolitely abrupt in speech or actions; curt.,45,,,,,
brutal,3.60,108,Norman - category 1; form 1,nope,yes,Allport Odbert - Column I,5840,"exceptionally savage, merciless, or cruel.",42,,,,,
brutish,NA,NA,dropped,nope,nope,Allport Odbert - Column I,35623,savage; lacking reason or intelligence; physical.,34,,,,,
bubbly,5.50,109,Norman - category 3; form 12,nope,yes,not included,20069,extremely cheerful; spontaneously exuberant.,44,,,,,
buffoonish,NA,NA,dropped,nope,nope,Allport Odbert - Column III,89833,behaving comically; clowning.,29,,,,,
